X,Y,OBJECTID,Type,Detail,Name,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,Ownership,Management,Surface,Use_,Condition,lat,long
-83.86646258977909,42.506020085855141,1,Campground,,Brighton Recreation Area Horseman's,Rose Lake,Livingston,Brighton Recreation Area,Equestrian,8,0,State,DNR,Dirt,,Good,42.50601192,-83.86645791
-83.847234907164648,42.502180488301917,2,Campground,State Park,Brighton Recreation Area Bishop Lake,Rose Lake,Livingston,Brighton Recreation Area,Modern,144,0,State,DNR,Dirt,Recreation,Unknown,42.50217232,-83.84723023
-83.840794694449642,42.497438796970506,3,Campground,State Park,Brighton Recreation Area  ,Rose Lake,Livingston,Brighton Recreation Area,Organizational,10,0,State,DNR,Dirt,Recreation,Unknown,42.49743063,-83.84079002
-83.834514055952567,42.506583185989925,4,Campground,State Park,Brighton Recreation Area Appleton Lake,Rose Lake,Livingston,Brighton Recreation Area,Rustic,25,0,State,DNR,Dirt,Recreation,Unknown,42.50657502,-83.83450939
-82.515547271622978,42.654092798668451,5,Campground,State Park,Algonac State Park Riverfront,Pontiac,St. Clair,Algonac State Park,Modern,219,0,State,DNR,Dirt,Recreation,Unknown,42.65408454,-82.51554299
-82.522891448567492,42.656144472910796,6,Campground,State Park,Algonac State Park Wagonwheel,Pontiac,St. Clair,Algonac State Park,Modern,75,3,State,DNR,Dirt,Recreation,Unknown,42.65613621,-82.52288717
-84.465666231110092,45.517318237797589,7,Campground,State Park,Aloha State Park  ,Gaylord,Cheboygan,Aloha State Park,Modern,297,13,State,DNR,Dirt,Recreation,Unknown,45.5173096,-84.46566105
-88.500494871626671,46.761499753593618,8,Campground,State Park,Baraga State Park  ,Baraga,Baraga,Baraga State Park,"Modern
Modern",120,0,State,DNR,Dirt,Recreation,Unknown,46.76149118,-88.50048828
-83.90163826674241,43.663376621560303,9,Campground,State Park,Bay City Recreation Area  ,Bay City,Bay,Bay City Recreation Area,Organizational,2,0,State,DNR,Dirt,Recreation,Unknown,43.66336826,-83.90163346
-88.433622743825367,46.08878706809206,10,Campground,State Park,Bewabic State Park  ,Baraga,Iron,Bewabic State Park,Modern,148,0,State,DNR,Dirt,Recreation,Unknown,46.08877859,-88.43361627
-84.559700767672197,46.413829024792797,11,Campground,State Park,Brimley State Park  ,Gaylord,Chippewa,Brimley State Park,Organizational,3,0,State,DNR,Dirt,Recreation,Unknown,46.41382025,-84.55969545
-84.629974305596704,45.400587431248226,12,Campground,State Park,Burt Lake State Park  ,Gaylord,Cheboygan,Burt Lake State Park,Modern,303,7,State,DNR,Dirt,Recreation,Unknown,45.40057882,-84.62996909
-84.625531550402215,45.403087219131223,13,Campground,State Park,Burt Lake State Park  ,Gaylord,Cheboygan,Burt Lake State Park,Organizational,3,0,State,DNR,Dirt,Recreation,Unknown,45.40307861,-84.62552633
-84.418875519856357,45.658081681834084,14,Campground,State Park,Cheboygan State park  ,Gaylord,Cheboygan,Cheboygan State park,Modern,74,0,State,DNR,Dirt,Recreation,Unknown,45.65807302,-84.41887034
-84.419197420367695,45.647428972831726,15,Campground,State Park,Cheboygan State Park  ,Gaylord,Cheboygan,Cheboygan State Park,Organizational,6,0,State,DNR,Dirt,Recreation,Unknown,45.64742031,-84.41919224
-84.183926212503351,45.132022389213709,16,Campground,State Park,Clear Lake State Park  ,Gaylord,Montmorency,Clear Lake State Park,Modern,199,0,State,DNR,Dirt,Recreation,Unknown,45.1320138,-84.18392116
-84.187633161685469,45.132251018205899,17,Campground,State Park,Clear Lake State Park  ,Gaylord,Montmorency,Clear Lake State Park,Organizational,3,0,State,DNR,Dirt,Recreation,Unknown,45.13224243,-84.18762811
-85.311608174591456,45.305484330073675,18,Campground,State Park,Fisherman's Island State Park North,Gaylord,Charlevoix,Fisherman's Island State Park,Rustic,35,0,State,DNR,Dirt,Recreation,Unknown,45.30547578,-85.31160276
-85.334230584016254,45.289929159473502,19,Campground,State Park,Fisherman's Island State Park South,Gaylord,Charlevoix,Fisherman's Island State Park,Rustic,35,0,State,DNR,Dirt,Recreation,Unknown,45.28992061,-85.33422516
-85.357591691525485,42.324173892754537,20,Campground,State Park,Fort Custer Recreation Area  ,Plainwell,Kalamazoo,Fort Custer Recreation Area,Organizational,5,0,State,DNR,Dirt,Recreation,Unknown,42.32416584,-85.35758658
-85.356956230770678,42.313155516761356,21,Campground,State Park,Fort Custer Recreation Area  ,Plainwell,Kalamazoo,Fort Custer Recreation Area,Organizational,2,0,State,DNR,Dirt,Recreation,Unknown,42.31314746,-85.35695112
-87.869702011329977,47.466445995988266,22,Campground,State Park,Fort Wilkins State Park West,Baraga,Keweenaw,Fort Wilkins State Park,Modern,78,0,State,DNR,Dirt,Recreation,Unknown,47.46643727,-87.86969552
-87.877551784940636,47.466009886127885,23,Campground,State Park,Fort Wilkins State Park  ,Baraga,Keweenaw,Fort Wilkins State Park,Organizational,5,0,State,DNR,Dirt,Recreation,Unknown,47.46600117,-87.87754529
-86.24806630666842,43.056939999601227,24,Campground,State Park,Grand Haven State Park  ,Plainwell,Ottawa,Grand Haven State Park,Modern,198,5,State,DNR,Dirt,Recreation,Unknown,43.05693187,-86.24806085
-83.294039646208333,44.648963429533701,25,Campground,State Park,Harrisville State Park  ,Roscommon,Alcona,Harrisville State Park,Modern,195,0,State,DNR,Dirt,Recreation,Unknown,44.64895487,-83.29403493
-84.684924664078025,44.737659661443907,26,Campground,State Park,Hartwick Pines State Park  ,Roscommon,Crawford,Hartwick Pines State Park,Modern,103,6,State,DNR,Dirt,Recreation,Unknown,44.73765116,-84.6849195
-83.543883437703698,42.635574242306966,27,Campground,State Park,Highland Recreation Area  ,Pontiac,Oakland,Highland Recreation Area,Equestrian,25,0,State,DNR,Dirt,Recreation,Unknown,42.63556604,-83.54387884
-83.556237740541377,42.63281912919966,28,Campground,State Park,Highland Recreation Area  ,Pontiac,Oakland,Highland Recreation Area,Organizational,6,0,State,DNR,Dirt,Recreation,Unknown,42.63281093,-83.55623314
-83.886040199956128,45.468311918420248,29,Campground,State Park,Hoeft State Park  ,Gaylord,Presque Isle,Hoeft State Park,Modern,141,0,State,DNR,Dirt,Recreation,Unknown,45.46830326,-83.88603521
-83.881430673264774,45.464935895617387,30,Campground,State Park,Hoeft State Park  ,Gaylord,Presque Isle,Hoeft State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,45.46492724,-83.88142568
-86.273830732952518,43.137433882280547,31,Campground,State Park,Hoffmaster State Park  ,Plainwell,Muskegon,Hoffmaster State Park,Modern,293,0,State,DNR,Dirt,Recreation,Unknown,43.13742574,-86.27382526
-86.261763484705583,43.125125606042083,32,Campground,State Park,Hoffmaster State Park  ,Plainwell,Muskegon,Hoffmaster State Park,Organizational,2,0,State,DNR,Dirt,Recreation,Unknown,43.12511746,-86.26175802
-86.207101827981916,42.775325413907289,33,Campground,State Park,Holland State Park Lake Macatawa,Plainwell,Ottawa,Holland State Park,Modern,110,11,State,DNR,Dirt,Recreation,Unknown,42.77531733,-86.20709641
-83.523202177829674,42.825491904893937,34,Campground,State Park,Holly Recreation Area Mcginnis Lake,Bay City,Oakland,Holly Recreation Area,Modern,144,2,State,DNR,Dirt,Recreation,Unknown,42.82548367,-83.52319757
-83.530732894534736,42.8250155421551,35,Campground,State Park,Holly Recreation Area Mcginnis Lake,Bay City,Oakland,Holly Recreation Area,Modern,15,0,State,DNR,Dirt,Recreation,Unknown,42.82500731,-83.53072829
-86.328437453296218,45.946171682206206,36,Campground,State Park,Inidan Lakes State Park South,Baraga,Schoolcraft,Inidan Lakes State Park,Modern,131,10,State,DNR,Dirt,Recreation,Unknown,45.94616309,-86.32843164
-86.361044453682055,45.970416988919482,37,Campground,State Park,Indian Lakes State Park West,Baraga,Schoolcraft,Indian Lakes State Park,Semi Modern,56,0,State,DNR,Dirt,Recreation,Unknown,45.97040839,-86.36103863
-85.759257873278145,44.625481114129414,38,Campground,State Park,Interlochen State Park Duck Lake,Gaylord,Grand Traverse,Interlochen State Park,Modern,208,11,State,DNR,Dirt,Recreation,Unknown,44.6254727,-85.75925239
-85.762394697218426,44.631396364474988,39,Campground,State Park,Interlochen State Park Duck Lake,Gaylord,Grand Traverse,Interlochen State Park,Modern,220,0,State,DNR,Dirt,Recreation,Unknown,44.63138795,-85.76238922
-85.765539807731301,44.625828763631034,40,Campground,State Park,Interlochen State Park Green Lake,Gaylord,Grand Traverse,Interlochen State Park,Rustic,31,0,State,DNR,Dirt,Recreation,Unknown,44.62582035,-85.76553433
-85.761069609442103,44.621499420110275,41,Campground,State Park,Interlochen State Park Green Lake,Gaylord,Grand Traverse,Interlochen State Park,Rustic,14,0,State,DNR,Dirt,Recreation,Unknown,44.621491,-85.76106413
-85.763574402325631,44.629252784035451,42,Campground,State Park,Interlochen State Park Duck Lake,Gaylord,Grand Traverse,Interlochen State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,44.62924437,-85.76356892
-85.762700363244107,44.623509560963988,43,Campground,State Park,Interlochen State Park Green Lake,Gaylord,Grand Traverse,Interlochen State Park,Organizational,1,0,State,DNR,Dirt,Recreation,Unknown,44.62350114,-85.76269488
-85.118875108755461,42.937826195707707,44,Campground,State Park,Ionia Recreation Area  ,Rose Lake,Ionia,Ionia Recreation Area,Modern,98,5,State,DNR,Dirt,Recreation,Unknown,42.93781802,-85.11887
-87.364812677085837,45.390084618711995,45,Campground,State Park,Wells State Park  ,Baraga,Ionia,Wells State Park,Modern,150,8,State,DNR,Dirt,Recreation,Unknown,45.39007618,-87.36480662
-89.572414888896532,46.460409835986439,46,Campground,State Park,Lake Gogebic State Park  ,Baraga,Gogebic,Lake Gogebic State Park,Modern,127,0,State,DNR,Dirt,Recreation,Unknown,46.46040137,-89.57240802
-84.259931296256951,41.824372605515798,47,Campground,State Park,Lake Hudson State Park  ,Rose Lake,Lenawee,Lake Hudson State Park,Semi Modern,50,0,State,DNR,Dirt,Recreation,Unknown,41.82436458,-84.25992656
-82.494619329021347,43.131281450331876,48,Campground,State Park,Lakeport State Park  ,Bay City,St. Clair,Lakeport State Park,Modern,194,0,State,DNR,Dirt,Recreation,Unknown,43.13127311,-82.49461501
-82.4943324547651,43.125139411314812,49,Campground,State Park,Lakeport State Park  ,Bay City,St. Clair,Lakeport State Park,Modern,56,0,State,DNR,Dirt,Recreation,Unknown,43.12513107,-82.49432814
-82.493148646589347,43.121263852316432,50,Campground,State Park,Lakeport State Park  ,Bay City,St. Clair,Lakeport State Park,Organizational,4,0,State,DNR,Dirt,Recreation,Unknown,43.12125551,-82.49314433
